Site,No.,Date,x,y,ele,"DBH/""",Tree BA SF2,plot/acre,,Height/m,pre/mg,post/mg,netmg,C%,δ13C,N,δ15N,C/N,No. PP,%PP,PP%/All,Manag.,,,
Brister_flat,10,5/16/21,-71.33504135,42.44581149,69,5.781,0.182185204,,,6.4,none,none,,50.06,-29.24,1.27,-6.48,39.41732283,,,,UNINF,,,
Brister_flat,11,5/16/21,-71.334143,42.446196,67,6.224761905,0.211228567,,,8.26,6.65,8.77,2.12,49.68,-28.07,1.5,-3.07,33.12,,,,UNINF,,,
Brister_flat,12,5/16/21,-71.33514046,42.44579082,69,9.347301587,0.476299006,,,13.716,6.71,7.8,1.09,48.98,-28.93,1.62,-3.47,30.2345679,,,,UNINF,,,
Brister_flat,13,5/16/21,-71.335188,42.445801,67,5.001904762,0.136388578,,,8.534,6.65,8.77,2.12,49.3,-28.99,1.37,-4.33,35.98540146,,,,UNINF,,,
Brister_flat,14,5/16/21,-71.33536504,42.44576958,68,4.7216,0.121530574,,,5.41,none,none,,49.81,-28.09,1.34,-4.51,37.17164179,,,,UNINF,,,
Brister_flat,15,5/16/21,-71.33531004,42.44577058,69,5.0125,0.136966998,,,5.492,none,none,,49.1,-28.81,1.44,-5.56,34.09722222,,,,UNINF,,,
Brister_flat,16,5/16/21,-71.335253,42.445688,70,6.085714286,0.201897194,,,16.84,6.71,8.69,1.98,49.13,-29.48,1.34,-0.95,36.6641791,,,,UNINF,,,
Brister_flat,17,5/16/21,-71.335762,42.445641,68,5.88,0.1884785,,,4.913,none,none,,48.88,-30.92,1.59,-2.48,30.74213836,,,,UNINF,16.84,,1.98
Brister_flat,18,5/16/21,-71.335738,42.445688,69,5.328636364,0.154788729,,,4.953,none,none,,49.56,-31.04,1.13,-3.84,43.85840708,,,,UNINF,17.221,,2.27
Brister_flat,19,5/16/21,-71.335854,42.445643,70,6.284090909,0.215274249,,,7.924,6.72,8.37,1.65,48.77,-31.61,1.23,-3.58,39.6504065,,,,UNINF,9.463,,3.03
Brister_flat,20,5/16/21,-71.336031,42.445599,67,5.733181818,0.179183739,,,6.806,none,none,,49.56,-28.85,1.3,-4.06,38.12307692,,,,UNINF,6.501,,3.39
Brister_flat,21,5/16/21,-71.33507135,42.44582549,69,8.164761905,0.363407774,,,12.221,6.65,8.92,2.27,51.14,-28.31,1.41,-4.29,36.26950355,,,,UNINF,9.372,,3.11
Brister_flat,22,5/16/21,-71.334464,42.446105,67,5.916818182,0.190846242,,,7.391,6.73,8.29,1.56,49.15,-30.09,1.52,-2.67,32.33552632,,,,UNINF,11.8794,,2.756
Brister_flat,23,5/16/21,-71.333919,42.44617,68,5.053,0.139189271,,,4.52,none,none,,49.11,-30.61,1.38,-3.95,35.58695652,,,,UNINF,,,
Brister_flat,24,5/16/21,-71.333936,42.446254,67,5.8615,0.187294362,,,6.096,none,none,,48.57,-28.93,1.64,-4.05,29.61585366,,,,UNINF,,,
Brister_flat,25,5/16/21,-71.334513,42.446084,67,6.5895,0.236707539,,,9.463,6.7,9.73,3.03,48.99,-28.52,1.45,-2.8,33.7862069,,,,UNINF,,,
Brister_flat,26,5/16/21,-71.334184,42.446279,67,5.8615,0.187294362,,,6.501,6.66,10.05,3.39,49.6,-29.54,1.52,-3.8,32.63157895,,,,UNINF,,,
Brister_flat,27,5/16/21,-71.334108,42.446402,69,5.475,0.163408789,,,5.562,none,none,,48.55,-28.94,1.64,-3.47,29.60365854,,,,UNINF,,,
Brister_flat,28,5/16/21,-71.33453958,42.44620803,67,5.696363636,0.176889712,,,8.183,none,none,,4.87,-28.85,0.15,-3.82,32.46666667,,,,UNINF,,,
Brister_flat,29,5/16/21,-71.334114,42.446206,68,7.2765,0.288637153,,,9.372,6.71,9.82,3.11,48.14,-28.9,1.43,-2.74,33.66433566,,,,UNINF,,,
Brister_flat,30,5/16/21,-71.333973,42.446395,69,6.72,0.246176,,,9.441,none,none,,49,-28.16,1.21,-5.34,40.49586777,75,90,83.33%,UNINF,,,
,,,,,,,5.978465931,0.161772727,,,,,,,,,,,,,,,,,
Bristers_Hill,1,5/16/21,-71.337198,42.446942,71,8.491,0.393029226,,,16.286,,,,49.43,-31.52,1.41,-3.72,35.05673759,,,,UNINF,,,
Bristers_Hill,2,5/16/21,-71.33723,42.44699,72,10.71,0.625296656,,,22.763,,,,45.76,-30.74,1.64,-3.72,27.90243902,,,,UNINF,,,
Bristers_Hill,3,5/16/21,-71.337206,42.447165,73,9.748,0.518010074,,,22.37,,,,49.2,-28.22,1.44,-4.24,34.16666667,,,,UNINF,,,
Bristers_Hill,4,5/16/21,-71.337184,42.447168,72,7.953,0.344801487,,,18.959,,,,50.24,-29.33,1.16,-3.9,43.31034483,,,,UNINF,,,
Bristers_Hill,5,5/16/21,-71.33703,42.44717,71,5.079,0.140625342,,,13.037,6.72,8.9,2.18,48.57,-29.98,1.44,-4.72,33.72916667,,,,UNINF,,,
Bristers_Hill,6,5/16/21,-71.33701,42.447328,71,10.748,0.629741741,,,17.353,,,,48.92,-30.52,1.08,-4.27,45.2962963,,,,UNINF,,,
Bristers_Hill,7,5/16/21,-71.337028,42.447289,71,9.979,0.54285171,,,14.357,6.72,8.53,1.81,48.97,-31.37,1.13,-3.81,43.33628319,,,,UNINF,,,
Bristers_Hill,8,5/16/21,-71.33708,42.44739,71,6.67,0.242526295,,,16.204,6.73,9.58,2.85,48.85,-29.67,1.35,-3.17,36.18518519,,,,UNINF,,,
Bristers_Hill,9,5/16/21,-71.336503,42.447595,75,8.209,0.367356455,,,13.503,,,,49.41,-29.29,1.63,-2.9,30.31288344,,,,UNINF,,,
Bristers_Hill,10,5/16/21,-71.33644,42.44761,75,7.055,0.271332115,,,13.656,,,,50.36,-29.21,1.24,-1.88,40.61290323,,,,UNINF,,,
Bristers_Hill,11,5/16/21,-71.337173,42.446933,70,9.941,0.538725226,,,16.134,,,,48.64,-30,1.29,-1.89,37.70542636,,,,UNINF,,,
Bristers_Hill,12,5/16/21,-71.337201,42.446926,73,7.824,0.33370664,,,13.823,,,,50.53,-32.03,1.15,-1.91,43.93913043,,,,UNINF,,,
Bristers_Hill,13,5/16/21,-71.337059,42.447009,74,8.786,0.420813402,,,18.563,6.68,12.47,5.79,50.38,-29.75,1.21,-2.42,41.63636364,,,,UNINF,,,
Bristers_Hill,14,5/16/21,-71.33717,42.44709,73,7.888,0.339188382,,,16.998,,,,50.46,-28.48,1.47,-3.53,34.32653061,,,,UNINF,,,
Bristers_Hill,15,5/16/21,-71.33709,42.44715,74,9.209,0.462308747,,,13.104,6.7,9.61,2.91,50.52,-31.49,1.12,-1.99,45.10714286,,,,UNINF,,,
Bristers_Hill,16,5/16/21,-71.33696,42.44715,74,6.934,0.262104718,,,14.082,,,,48.96,-29.93,1.14,-4.91,42.94736842,,,,UNINF,,,
Bristers_Hill,17,5/16/21,-71.33697,42.44733,74,7.516,0.307950354,,,13.39,6.65,7.19,0.54,48.42,-30.59,1.53,-2.42,31.64705882,,,,UNINF,,,
Bristers_Hill,18,5/16/21,-71.33694,42.44739,74,4.682,0.119500572,,,12.644,,,,50.34,-28.16,1.19,-1.08,42.30252101,,,,UNINF,,,
Bristers_Hill,19,5/16/21,-71.33704,42.44742,70,5.926,0.191439018,,,16.925,6.71,11.9,5.19,48.97,-30.93,0.98,-2.86,49.96938776,,,,UNINF,,,
Bristers_Hill,20,5/16/21,-71.33666,42.44769,70,6.721,0.246249272,,,12.095,,,,50.51,-29.76,1.02,-1.59,49.51960784,,,,UNINF,,,
Bristers_Hill,21,5/16/21,-71.33665,42.44766,73,5.323,0.154461446,,,16.038,,,,49.42,-28.92,0.83,-1.1,59.54216867,,,,UNINF,,,
Bristers_Hill,22,5/16/21,-71.33622,42.44771,73,5.926,0.191439018,,,16.952,6.7,7.91,1.21,50.89,-30.43,1.22,-4.71,41.71311475,,,,UNINF,,,
Bristers_Hill,23,5/16/21,-71.3363,42.44756,72,8.081,0.355989655,,,20.133,6.72,6.94,0.22,49.73,-28.9,1.24,-2.64,40.10483871,,,,UNINF,,,
Bristers_Hill,24,5/16/21,-71.33632,42.44769,71,6.246,0.212672396,,,9.657,,,,51.11,-29.91,1.02,-1.71,50.10784314,,,,UNINF,,,
Bristers_Hill,25,5/16/21,-71.33717,42.44655,72,8.337,0.378901887,,,8.105,,,,47.19,-30.15,0.98,-1.53,48.15306122,,,,UNINF,,,
Bristers_Hill,26,5/16/21,-71.33682,42.44643,72,5.761,0.180926805,,,10.919,,,,49.79,-32.08,1.27,-2.84,39.20472441,,,,UNINF,,,
Bristers_Hill,27,5/16/21,-71.33674,42.4465,71,8.273,0.373106842,,,18.304,,,,51.25,-29.98,1.13,0.39,45.3539823,,,,UNINF,,,
Bristers_Hill,28,5/16/21,-71.33666,42.44633,69,6.695,0.24434774,,,13.037,,,,50.45,-30.72,1.38,-0.78,36.55797101,,,,UNINF,,,
Bristers_Hill,29,5/16/21,-71.33641,42.44625,70,8.511,0.394882917,,,19.045,,,,49.25,-30.94,1.73,-0.29,28.46820809,,,,UNINF,,,
Bristers_Hill,30,5/16/21,-71.33626,42.44634,71,7.696,0.322877129,,,18.091,6.66,10.07,3.41,48.22,-28.9,1.27,-3.06,37.96850394,72,118,61.02%,UNINF,,,
,,,,,,,10.10716327,0.351386364,,,,,,,,,,,,,,,,,
Fairyland_Overlook,1,5/17/21,-71.339957,42.447716,76,11.816,0.761111229,,,30.97,6.65,9.38,2.73,48.05,-30.8,1.21,-4,39.7107438,,,,UNINF,,,
Fairyland_Overlook,2,5/17/21,-71.339582,42.447714,81,9.797,0.523230896,,,27.04,none,none,,48.78,-28.47,1.43,-3.82,34.11188811,,,,UNINF,,,
Fairyland_Overlook,3,5/17/21,-71.339549,42.447881,81,12.574,0.861894435,,,30.75,6.72,7.36,0.64,48.26,-31.57,0.51,NOSAMP,94.62745098,,,,UNINF,,,
Fairyland_Overlook,4,5/17/21,-71.339609,42.44786,80,15.564,1.320534065,,,35.48,none,none,,49.25,-28.61,1.6,-3.96,30.78125,,,,UNINF,,,
Fairyland_Overlook,5,5/17/21,-71.339582,42.44787,78,16.008,1.39695146,,,35.75,6.66,7.01,0.35,47.35,-30.86,1.19,-5.09,39.78991597,,,,UNINF,,,
Fairyland_Overlook,6,5/17/21,-71.339544,42.44768,80,12.826,0.896787685,,,27.98,none,none,,48.53,-31.06,1.25,-4.4,38.824,,,,UNINF,,,
Fairyland_Overlook,7,5/17/21,-71.339521,42.447771,80,12.17,0.807399212,,,23.95,6.78,7.03,0.25,47.18,-27.8,1.53,-4.19,30.83660131,,,,UNINF,,,
Fairyland_Overlook,8,5/17/21,-71.339478,42.447853,79,14.341,1.121155976,,,27.4,6.64,10.15,3.51,47.73,-26.64,1.27,-2.5,37.58267717,,,,UNINF,,,
Fairyland_Overlook,9,5/17/21,-71.33948,42.447669,79,9.973,0.542199113,,,25.85,none,none,,52.56,-29.68,1.26,-2.15,41.71428571,,,,UNINF,,,
Fairyland_Overlook,10,5/17/21,-71.339355,42.447884,80,11.418,0.710701516,,,26.487,none,none,,38.83,-29.18,1.37,-4.12,28.34306569,,,,UNINF,,,
Fairyland_Overlook,11,5/17/21,-71.339307,42.447731,78,11.261,0.691291285,,,25.55,6.7,7.7,1,48.73,-29,1.42,-3.11,34.31690141,,,,UNINF,,,
Fairyland_Overlook,12,5/17/21,-71.339215,42.447802,78,8.696,0.412236296,,,28.92,6.63,8.06,1.43,8.2,-30.71,0.22,NOSAMP,37.27272727,,,,UNINF,,,
Fairyland_Overlook,13,5/17/21,-71.339164,42.447676,78,10.706,0.624829668,,,27.099,6.66,8.77,2.11,47.97,-28.5,1.36,-3.97,35.27205882,,,,UNINF,,,
Fairyland_Overlook,14,5/17/21,-71.339148,42.447794,76,14.826,1.198271296,,,31.799,6.73,8.12,1.39,48.77,-29.17,1.53,-2.72,31.87581699,,,,UNINF,,,
Fairyland_Overlook,15,5/17/21,-71.339121,42.447633,75,12.412,0.839828674,,,32.272,none,none,,48.62,-30.15,1.32,-3.94,36.83333333,,,,UNINF,,,
Fairyland_Overlook,16,5/17/21,-71.339097,42.447634,75,10.251,0.572848304,,,25.206,none,none,,51.38,-28.54,1.66,-2.53,30.95180723,,,,UNINF,,,
Fairyland_Overlook,17,5/17/21,-71.339062,42.447851,76,14.392,1.129144349,,,30.693,none,none,,47.78,-30.24,1.55,-3.59,30.82580645,,,,UNINF,,,
Fairyland_Overlook,18,5/17/21,-71.339031,42.44759,76,11.362,0.703747288,,,28.072,6.74,9.71,2.97,48.67,-27.45,1.26,-5.42,38.62698413,,,,UNINF,,,
Fairyland_Overlook,19,5/17/21,-71.338996,42.447786,75,9.746,0.517797535,,,29.504,6.72,9.03,2.31,47.62,-31.61,1.17,-2.2,40.7008547,,,,UNINF,,,
Fairyland_Overlook,20,5/17/21,-71.338984,42.447748,73,16.664,1.513790162,,,32.918,6.62,9.3,2.68,49.65,-30.11,1.14,-3.43,43.55263158,46,90,51.11%,UNINF,,,
,,,,,,,29.9080581,0.423975,,,,,,,,,,,,,,,,,
Long Island,,,,,,,,,,,,,,,,,,,,,,,,,
RPMBT,1,5/4/22,-72.564166,40.5474438,124,8.537,0.397299234,,,8.624,6.75,8.13,1.38,23.62,-30.87,0.58,-1.42,40.40822541,,,,UNINF,,,
RPMBT,2,5/4/22,-72.564155,40.544458,122,9.183,0.459701937,,,12.444,6.7,7.93,1.23,50.04,-32.94,1.12,-2.52,44.86041132,,,,UNINF,,,
RPMBT,3,5/4/22,-72.564168,40.544462,121,9.508,0.492816807,,,13.553,6.55,6.55,0,49.46,-31.88,1.22,-4.26,40.38333415,,,,UNINF,,,
RPMBT,4,5/4/22,-72.56414,40.544471,122,8.925,0.434233789,,,9.241,6.69,7.38,0.69,51.92,-30.7,1.23,-1.68,42.23120597,,,,UNINF,,,
RPMBT,5,5/4/22,-72.564141,40.54448,122,9.653,0.507962646,,,11.951,6.56,10.77,4.21,49.34,-31.38,1.16,-3.84,42.3893638,,,,UNINF,,,
RPMBT,6,5/4/22,-72.564195,40.544496,122,8.149,0.362006026,,,7.516,6.68,6.74,0.06,50.63,-31.15,1,-1.98,50.84861858,,,,UNINF,,,
RPMBT,7,5/4/22,-72.564244,40.54448,122,9.313,0.472809692,,,10.103,6.46,12.5,6.04,50,-30.65,1.06,-2.2,46.99552623,,,,UNINF,,,
RPMBT,8,5/4/22,-72.564263,40.544483,121,9.411,0.482812729,,,9.117,6.65,6.73,0.08,49.72,-33.4,1.14,-1.94,43.78008083,,,,UNINF,,,
RPMBT,9,5/4/22,-72.564252,40.544447,126,9.453,0.487131799,,,11.582,6.73,7.03,0.3,50.84,-30.78,1.21,-2.81,42.02700021,,,,UNINF,,,
RPMBT,10,5/4/22,-72.564241,40.544424,125,9.28,0.469464889,,,14.046,6.67,7.07,0.4,49.45,-31.96,1.22,-0.43,40.45801901,31,50,62.00%,UNINF,,,
,,,,,,,4.566239548,0.18245,,,,,,,,,,,,,,,,,
RPRCA,1,5/5/22,-72.550979,40.542847,102,4.739,0.122427951,,,6.9,6.68,11.07,4.39,43.57,-31.42,1.21,-1.11,36.10036626,,,,UNINF,,,
RPRCA,2,5/5/22,-72.550999,40.542842,105,4.932,0.132602985,,,7.146,6.71,6.72,0.01,48.21,-31.83,1.63,-1.16,29.49239324,,,,UNINF,,,
RPRCA,3,5/5/22,-72.550991,40.542878,106,4.158,0.094248866,,,5.544,6.56,6.64,0.08,48.73,-31.23,1.64,-1.91,29.63812849,,,,UNINF,,,
RPRCA,4,5/5/22,-72.550966,40.542898,106,5.896,0.189505629,,,8.193,6.53,7.05,0.52,51.41,-30.86,1.34,-2.13,38.35839272,,,,UNINF,,,
RPRCA,5,5/5/22,-72.550946,40.54288,103,3.602,0.070728522,,,6.653,6.4,7.41,1.01,49.23,-32.28,1.6,-0.94,30.72177945,,,,UNINF,,,
RPRCA,6,5/5/22,-72.550921,40.542887,99,5.899,0.189698526,,,8.62,6.64,6.64,0,48.86,-31.34,1.18,-1.54,41.4079661,,,,UNINF,,,
RPRCA,7,5/5/22,-72.550923,40.542935,102,5.754,0.180487396,,,7.885,6.53,8.3,1.77,50.61,-31.35,1.51,-1.73,33.54844697,,,,UNINF,,,
RPRCA,8,5/5/22,-72.550899,40.542897,108,7.06,0.271716847,,,3.793,6.59,14.26,7.67,49.51,-33.01,1.27,-2.45,38.95239144,,,,UNINF,,,
RPRCA,9,5/5/22,-72.550869,40.542902,101,6.818,0.253408488,,,7.146,6.57,6.64,0.07,49.42,-32.45,1.21,-0.83,40.9919789,,,,UNINF,,,
RPRCA,10,5/5/22,-72.5509,40.542864,100,5.367,0.157025562,,,8.58,6.66,6.97,0.31,49.75,-31.16,1.39,-2.18,35.88846731,58,68,85.29%,UNINF,,,
,,,,,,,1.661850773,0.24309,,,,,,,,,,,,,,,,,
RPUNIT14,1,5/6/22,-72.561599,40.542877,106,9.278,0.469262555,,,10.066,6.4,9.01,2.61,49.62,-33.1,1.02,-2.8,48.77886686,,,,INF,,,
RPUNIT14,2,5/6/22,-72.561592,40.542896,113,9.208,0.462208349,,,13.935,6.7,6.99,0.29,49.55,-32.15,1.36,-3.67,36.36290914,,,,dead,,,
RPUNIT14,3,5/6/22,-72.561497,40.542884,102,8.655,0.408358227,,,41.91,6.57,14.12,7.55,49.06,-32.28,1.4,-2.87,35.10643474,,,,INF,,,
RPUNIT14,4,5/6/22,-72.561622,40.542923,107,8.462,0.390349122,,,15.25,6.29,6.29,0.01,49.78,-32.36,1.16,-3.45,42.77952526,,,,INF,,,
RPUNIT14,5,5/6/22,-72.561666,40.542824,103,7.688,0.322206216,,,11.806,6.69,20.93,14.24,48.4,-32.46,1.12,-1.97,43.38021099,,,,INF,,,
RPUNIT14,6,5/6/22,-72.561669,40.542854,104,9.502,0.492195022,,,14.709,6.48,18.54,12.06,49,-32.22,1.16,-2.18,42.0930732,,,,INF,,,
RPUNIT14,7,5/6/22,-72.561525,40.54285,103,8.438,0.388138038,,,12.58,6.68,9.9,3.22,48.5,-30,1.27,-1.96,38.30872769,,,,INF,,,
RPUNIT14,8,5/6/22,-72.561518,40.542854,106,9.402,0.481889716,,,14.167,6.46,7.22,0.76,48.62,-32.24,0.86,-2.09,56.36185541,,,,INF,,,
RPUNIT14,9,5/6/22,-72.561591,40.542845,112,9.139,0.455307201,,,9.483,6.75,6.96,0.21,48.55,-33.05,1.04,-2.73,46.65574432,,,,INF,,,
RPUNIT14,10,5/6/22,-72.561676,40.542813,103,9.429,0.484661404,,,7.161,6.42,12.26,5.84,48.72,-29.26,1.58,-2.86,30.83536917,45,77,58.44%,INF1,,,
,,,,,,,4.35457585,0.354,,,,,,,,,,,,,,,,,
