Site,No.,Date,x,y,ele,"DBH/""",Tree BA SF2,plot/acre,,Height/m,pre/mg,post/mg,netmg,C%,δ13C,N,δ15N,C/N,No. PP,%PP,PP%/All,Manag.,,,
Concord MA,,,,,,,,%,,,,,,,,,,,,,,,%OM,,pH
Brister_flat,1,5/16/21,-71.334176,42.446263,68,4.373195418,0.10425693,,,6.934,6.72,7.79,1.07,49.65,-30.18,1.57,-6.93,31.62420382,,,,UNINF,,,
Brister_flat,2,5/16/21,-71.334005,42.44629,69,7.36269315,0.295515705,,,7.924,none,none,,49.24,-29.51,1.46,-2.67,33.7260274,,,,UNINF,30.9,,3.9
Brister_flat,3,5/16/21,-71.334264,42.446145,69,9.868,0.530842207,,,7.071,6.65,7.34,0.69,49.1,-29.22,1.35,-4.11,36.37037037,,,,UNINF,,,
Brister_flat,4,5/16/21,-71.334573,42.44616,70,5.279546405,0.151949889,,,6.629,none,none,,49.41,-28.06,1.48,-4.11,33.38513514,,,,UNINF,30.97,,2.73
Brister_flat,5,5/16/21,-71.334685,42.446077,66,4.515348837,0.111144962,,,5.181,6.72,7.79,1.07,49.97,-28.9,1.42,-3.4,35.19014085,,,,UNINF,27.4,,3.51
Brister_flat,6,5/16/21,-71.33476425,42.44598217,68,4.24,0.098002889,,,6.05,6.71,8.77,2.06,48.9,-30.06,1.19,-3.89,41.09243697,,,,UNINF,28.072,,2.97
Brister_flat,7,5/16/21,-71.334721,42.445895,68,4.607936508,0.11574977,,,8.001,6.71,8.77,2.06,49.27,-29.3,1.34,-5.55,36.76865672,,,,UNINF,29.504,,2.31
Brister_flat,8,5/16/21,-71.334718,42.445959,70,4.158095238,0.094253184,,,6.644,none,none,,49.65,-28.39,1.43,-4.21,34.72027972,,,,UNINF,32.918,,2.68
Brister_flat,9,5/16/21,-71.334835,42.445921,67,4.1232,0.092677854,,,4.791,none,none,,48.29,-29.99,1.67,-4.35,28.91616766,,,,UNINF,29.7728,,2.84
